User,Content,publishTime,Location
Cadabruh,"https://t.co/NdWV7haTGU
&gt;Beijing clarified that farts, normally, do not constitute another transmission route of CO… https://t.co/KAvi10lZs2",Sun Mar 01 21:50:42 +0000 2020,Beijing
kytxcbs19,"China has recorded almost 80,000 cases of the virus that causes the disease COVID-19, by far the most of any countr… https://t.co/A4v12drDwI",Sun Mar 01 21:00:00 +0000 2020,Beijing
EddieMmwangi,"“Mombasa is the gateway through which Kenya, Uganda, South Sudan, Rwanda &amp; parts of Tanzania, Ethiopia &amp; DRC Congo… https://t.co/83uezlyH8t",Sun Mar 01 20:53:09 +0000 2020,Beijing
Sandyshark,RT @asiatimesonline: The crypto's price action can provide insights that may be more relevant than Beijing's official Covid-19 data https:/…,Sun Mar 01 20:41:25 +0000 2020,Beijing
asiatimesonline,The crypto's price action can provide insights that may be more relevant than Beijing's official Covid-19 data https://t.co/lwDhPEtkUR,Sun Mar 01 20:21:04 +0000 2020,Beijing
BergenHolmes,Beijing ramps up crowd control measures on COVID-19 fears - CNA https://t.co/HWg8OlroQa,Sun Mar 01 20:20:51 +0000 2020,Beijing
amici09,"FYI
    The laboratory is the only declared site in China capable of working with deadly viruses.
 Israeli military… https://t.co/F3kXwlc31T",Sun Mar 01 20:05:16 +0000 2020,Beijing
myfairobserver,China’s influence at the WHO — and the WHO’s susceptibility to being influenced by Beijing — are putting lives at r… https://t.co/2XHsPZsVlm,Sun Mar 01 20:00:00 +0000 2020,Beijing
99_secretgarden,"RT @hfeldwisch: Given @WHO's praise for Beijing's approach to #covid19, I'm not surprised that its new report says #TCM shall be studied. B…",Sun Mar 01 19:52:21 +0000 2020,Beijing
MemoonaRasheed2,"RT @TaneerAhmed: Among some of the precautions to control the spread of COVID-19 at the workplace, Beijing government suggests elevators sh…",Sun Mar 01 19:51:12 +0000 2020,Beijing
youngtothelee,The US restricts travel after a first coronavirus death. The White House announced new travel restrictions for Sout… https://t.co/mQVONVdps9,Sun Mar 01 22:05:39 +0000 2020,South korea
